objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"504","175878","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89210381","5.85022","6.26032","3.47","3477","3786","thing","504","2","4","120","120","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5211","271512","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","89222562","5.86406","6.39606","1.2381","3359","2555","thing","5211","2","5","30","30","20","2019","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","63708243","6.80864","6.93475","1.2043","607","32939","thing","6 nimmt!","2","10","45","45","45","1994","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","38870915","7.98446","8.10783","2.2257","18","115434","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","10","5","0","1","0","0","0","0","0","0","0","3","","Staggering in scope and oh so compelling.","","","","39115890","7.70559","8.01995","2.896","56","33894","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Adventure Tactics: Domianne's Tower","268504","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","89224404","6.01444","8.04852","2.6429","2492","1279","thing","Adventure Tactics: Domianne's Tower","1","5","90","90","45","2021","1,2,3,4,5","3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","32050286","7.80281","7.92051","3.6396","39","79246","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ahead in the Clouds","207796","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61316932","5.54559","6.17225","1.8","10927","708","thing","Ahead in the Clouds","2","2","30","30","30","2016","2","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Alma Mater","299960","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","74843165","6.50088","7.5291","3.7456","1078","3626","thing","Alma Mater","2","4","150","150","90","2020","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Almanac: The Dragon Road","278783","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77591729","5.7472","7.32214","2.0833","4438","632","thing","Almanac: The Dragon Road","2","4","90","90","60","2020","2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Amerigo","137408","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","39013902","7.00043","7.46105","2.9817","408","7471","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony","185343","0","3","0","1","0","0","0","0","0","0","0","4","","","","","","39402759","7.75339","8.10752","4.0106","47","17838","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"...and then, we held hands.","153999","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051500","5.78031","6.05247","1.7719","4070","3723","thing","...and then, we held hands.","2","2","45","45","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anno 1800","311193","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051529","6.99157","7.85384","3.1643","414","5496","thing","Anno 1800","2","4","120","120","120","2020","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Antinomy","251441","0","","0","1","0","0","0","0","0","0","0","3","","","","","","61316884","5.72102","7.02694","2","4779","1221","thing","Antinomy","2","2","30","30","30","2019","1,2","2","8–10","","","","","","","standalone","","","","","","","","","","","","","","",""
"AquaSphere","159508","0","4","0","1","0","0","0","0","0","0","0","2","SweetieCon March","","","","","39309459","6.89748","7.26739","3.6935","516","10456","thing","AquaSphere","2","4","100","100","100","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Architects of the West Kingdom","236457","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","56285764","7.58442","7.80097","2.7558","81","30202","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Aristocracy","287247","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","68232029","5.60329","6.62688","2","7344","272","thing","Aristocracy","2","4","45","45","45","2019","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ark Nova","342942","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","91193083","7.60572","8.70735","3.7476","79","5267","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Armonia","341009","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89222285","5.52378","6.09894","1.25","14035","190","thing","Armonia","1","4","60","60","30","2021","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Art Decko","260316","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89223473","5.76998","7.01778","2.2","4171","354","thing","Art Decko","2","4","60","60","45","2019","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Assembly","217353","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","61496558","5.72122","7.17016","1.1818","4775","680","thing","Assembly","1","4","20","20","10","2016","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"At the Gates of Loyang","39683","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","38842135","7.0927","7.37684","3.126","330","13540","thing","At the Gates of Loyang","1","4","120","120","60","2009","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Atheneum: Mystic Library","307844","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77815288","5.86114","7.24668","1.7","3382","1075","thing","Atheneum: Mystic Library","2","5","45","45","30","2020","2,3,4,5","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Atlantis Rising (Second Edition)","248490","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","69279837","6.8384","7.73855","2.4342","573","5515","thing","Atlantis Rising (Second Edition)","1","7","120","120","60","2019","1,2,3,4,5,6,7","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ausonia","302469","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","80821400","5.87356","7.80846","2.3529","3283","852","thing","Ausonia","1","4","30","30","30","2021","1,2,3,4","2","12","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Awkward Guests","188866","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","89212071","7.11327","7.68507","2.3145","318","9774","thing","Awkward Guests","1","8","75","75","45","2016","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","0","12","0","1","0","0","0","0","0","0","0","4","2017 - Kiesling!","","","","","44015885","7.68021","7.79385","1.7637","61","99498","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Summer Pavilion","287954","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","66128473","7.40673","7.75947","2.038","143","18106","thing","Azul: Summer Pavilion","2","4","45","45","30","2019","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Barrage","251247","10","3","0","1","0","0","0","0","0","0","0","4","dam building by Simone! cool sounding action wheel","Glorious game, no regrets going all in on KS. Can't imagine not backing future games that Cranio produces.","","","","51163314","7.7934","8.22697","4.0574","40","13831","thing","Barrage","1","4","120","120","60","2019","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beta Colony","235533","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","57565012","5.61805","6.73066","2.625","6843","344","thing","Beta Colony","2","4","80","80","40","2018","3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","54553803","6.81022","7.29265","2.1982","604","8202","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond Baker Street","168681","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051550","6.2291","6.85807","2.1842","1700","3725","thing","Beyond Baker Street","2","4","20","20","20","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond the Sun","317985","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77450457","7.43941","8.02291","3.1","127","7792","thing","Beyond the Sun","2","4","120","120","60","2020","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","41056613","7.02276","7.20492","1.6839","391","20508","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios: Quill and Parchment","300523","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89222227","5.71685","7.12445","2.2","4831","903","thing","Biblios: Quill and Parchment","1","4","40","40","40","2021","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bios: Genesis","98918","0","","0","1","0","0","0","0","0","0","0","3","","","","","","80764114","6.20485","7.12365","4.4099","1781","4618","thing","Bios: Genesis","1","4","120","120","60","2016","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bitoku","323612","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","90272716","6.49306","8.05738","3.6635","1096","2767","thing","Bitoku","1","4","120","120","120","2021","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
